"site","year_of","rain_annual_mm_sum","tmin_annual_mean","tavg_annual_mean","tmax_annual_mean"
"gombe",1958,839.81,16.82,22.57,28.27
"gombe",1959,1146.51,16.83,22.44,28.22
"gombe",1960,942.63,16.66,22.27,28.09
"gombe",1961,1155.9,16.77,22.35,27.75
"gombe",1962,1362.01,16,21.98,27.81
"gombe",1963,1210.41,16.39,22.01,27.27
"gombe",1964,1240.1,16.57,22.24,27.73
"gombe",1965,1003.19,16.51,22.28,27.97
"gombe",1966,1044.36,16.98,22.3,28.12
"gombe",1967,1019.15,16.97,22.08,27.79
"gombe",1968,1186.27,16.52,22.02,27.84
"gombe",1969,869.29,16.98,22.53,27.7
"gombe",1970,1033.33,17.01,22.24,28.26
"gombe",1971,1158.36,16.36,21.77,27.96
"gombe",1972,1126.04,16.68,22.39,27.97
"gombe",1973,981.89,16.98,22.49,28.37
"gombe",1974,1254.38,16.41,22.08,27.63
"gombe",1975,916.15,16.72,22.04,27.83
"gombe",1976,1045.6,16.44,22.2,27.83
"gombe",1977,1179.09,17.09,22.55,28.26
"gombe",1978,1241.11,16.93,22.39,27.88
"gombe",1979,1233.58,17.11,22.5,28.14
"gombe",1980,1049.09,16.74,22.73,28.34
"gombe",1981,1297.81,16.82,22.5,28.33
"gombe",1982,1309.48,17.25,22.41,28.04
"gombe",1983,1024.99,17.47,22.9,28.97
"gombe",1984,985.98,16.84,22.24,28.53
"gombe",1985,1152.23,16.99,22.54,27.99
"gombe",1986,1258.57,17,22.57,28.11
"gombe",1987,979.48,17.39,22.98,29.04
"gombe",1988,1233.72,17.29,22.75,28.43
"gombe",1989,1055.19,16.74,22.23,27.78
"gombe",1990,1098.49,16.97,22.63,28.42
"gombe",1991,1165.52,17.04,22.46,28.33
"gombe",1992,1051.93,17.25,22.78,28.48
"gombe",1993,905.67,17.32,22.65,28.51
"gombe",1994,1099.79,17.27,22.72,28.64
"gombe",1995,923.61,17.39,22.99,28.73
"gombe",1996,980.47,17.23,22.69,28.61
"gombe",1997,1061.07,17.46,22.98,28.82
"gombe",1998,1042.58,17.63,23.09,28.93
"gombe",1999,1017.09,16.98,22.5,28.17
"gombe",2000,1071.75,17.09,22.78,28.59
"gombe",2001,864.5,17.23,22.66,28.28
"gombe",2002,977.86,17.19,22.74,28.69
"gombe",2003,877.88,17.42,22.92,28.85
"gombe",2004,1292.4,17.16,23.02,28.67
"gombe",2005,841.08,17.82,23.58,28.88
"gombe",2006,1362.13,17.4,23.06,28.52
"gombe",2007,898.87,17.22,22.51,28.68
"gombe",2008,1362.56,16.83,22.71,28.35
"gombe",2009,1142.29,17.05,22.97,28.8
"gombe",2010,1166.1,17.73,23.43,29.03
"gombe",2011,1489.41,17.13,22.85,28.57
"gombe",2012,1033.38,17.07,22.9,28.96
"gombe",2013,1177.11,17.21,23.06,28.91
"gombe",2014,888.25,17.58,23.06,28.86
"gombe",2015,1071.78,17.63,23.22,29.24
